trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
386,False,"{'a': 0.005, 'e': 0.14514819848362373}",25,13,7.478707332448824,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
387,False,"{'a': 0.005, 'e': 0.14442426882354198}",20,14,7.786933615332757,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,False,"{'a': 0.005, 'e': 0.14370394977770293}",25,13,-21.158267188281023,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
389,False,"{'a': 0.005, 'e': 0.14298722333809288}",20,9,20.6508041362637,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
390,False,"{'a': 0.005, 'e': 0.1422740715865136}",25,16,16.138812561674747,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.005, 'e': 0.14156447669413402}",20,7,6.116977290711076,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
392,False,"{'a': 0.005, 'e': 0.140858420921045}",25,0,31.616906678263057,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
393,False,"{'a': 0.005, 'e': 0.14015588661581535}",25,18,12.923683734358065,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.005, 'e': 0.13945685621505094}",30,16,19.77858601224926,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.005, 'e': 0.13876131224295524}",20,12,17.449064486385137,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.005, 'e': 0.13806923731089282}",20,12,12.946829281951583,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.005, 'e': 0.13738061411695424}",30,8,16.158422336667776,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
398,False,"{'a': 0.005, 'e': 0.13669542544552385}",25,5,-33.81727480084911,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
399,False,"{'a': 0.005, 'e': 0.13601365416684916}",20,0,22.085409647237007,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
400,False,"{'a': 0.005, 'e': 0.1353352832366127}",20,6,-16.56894494332792,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
401,False,"{'a': 0.005, 'e': 0.13466029569550586}",20,0,15.97427107012226,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
402,False,"{'a': 0.005, 'e': 0.13398867466880493}",25,17,0.4304567435673263,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
403,False,"{'a': 0.005, 'e': 0.13332040336594936}",20,4,18.864551743354728,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
404,False,"{'a': 0.005, 'e': 0.13265546508012172}",30,10,-13.497017172004169,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
405,False,"{'a': 0.005, 'e': 0.13199384318783022}",20,0,26.949167503589823,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
406,False,"{'a': 0.005, 'e': 0.13133552114849303}",25,15,18.172541572256016,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
